Index;R-number;Text;NP_Givenness;Structural_Priming;Imperative_conditional;le;NP_Definiteness;Numeric_Classifier;NP_Concreteness;NP_Length;Response;V-P;Filename;Genre;Register;Time;Time_num;
880;0,435935578;...这种观点和抱有这种观点的势力是多么保守。铁板一块主义企图通过[[[发出警报来]]]挽救所能挽救的一切。他们从旧的过时的立场出发，不能够理解，更不...;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1970s\1978\报刊\人民日报\rmrb_1978_09.txt;Newspaper;Written;1960-1980;3;
1770;0,141029762;...按照中央和国务院有关通知精神，在治理、整顿中把这件事抓一下，[[[做出成效来]]]，起好表率作用。;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1980s\1989\报刊\人民日报\rmrb_1989_02.txt;Newspaper;Written;1980-2000;4;
1958;0,465301081;...的大班台上号啕大哭。听了他的遭遇，营营也惊得张口结舌，半天没[[[说出话来]]]。;New;No;No;Absent;Indefinite;Absent;Non-concrete;1;V-chu-N-lai;Y;1990s\1997\报刊\作家文摘\1997B.TXT;Newspaper;Written;1980-2000;4;
895;0,384965199;亲人们也纷纷把最锋利的刀剑换给他们用，并[[[拿出酒来]]]和他们共饮几杯，拿出干粮让他们吃饱。;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1960s\1963\文学\大陆作家\1963 姚雪垠 李自成1.txt;Fiction;Written;1960-1980;3;
96;0,256019935;...样困难的情况下，为了招待慰问团，还得从少得可怜的工办管理费中[[[挤出钱来]]]，派一辆拖拉机到20多里外的虹桥专门采购物资。;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1980s\1980\报刊\人民日报\rmrb_1980_09.txt;Newspaper;Written;1980-2000;4;
694;0,610093293;...邻右舍，揭开锅来，干的多，稀的少；拿出馍来，白的多，黑的少；[[[端出饭来]]]，细的多，粗的少。正因为这样，就有一些农民大手大脚起来，磨面不...;New;Yes;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1950s\1953\报刊\人民日报\rmrb_1953_10.txt;Newspaper;Written;1940-1960;2;
418;0,974718674;这时，有的干部以为资本主义批得差不多了，该[[[抽出手来]]]抓生产了。思想上一麻痹，大批判就松了劲，资本主义倾向又趁机冒了...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1970s\1975\报刊\人民日报\rmrb_1975_02.txt;Newspaper;Written;1960-1980;3;
777;0,613916677;...X)＝1    (5)毕竟全国绝大多数地方好起来了，国家可以[[[腾出手来]]]帮助少数贫困地方发展起来（《邓选》（三）84页）    F(,...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1990s\1994\应用文\议论文\1994 陈月明 数量份额词语的语义分析.txt;Academic;Written;1980-2000;4;
988;0,767669391;...支部书记再三的叮嘱，也想起了自己的保证：“不管天翻地覆，保证[[[找出水源来]]]。”他心里热呼呼的。这时候，寒热病正在折磨着他。但是，他一想到...;New;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1950s\1955\报刊\人民日报\rmrb_1955_04.txt;Newspaper;Written;1940-1960;2;
1528;0,653090086;...金鱼胡同。在这条宽不过五六米、长仅百来米的小街上，3座大饭店[[[冒出头来]]]：台湾饭店在打基础，王府饭店在上结构，和平宾馆主楼已经封顶。;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1980s\1987\报刊\人民日报\rmrb_1987_08.txt;Newspaper;Written;1980-2000;4;
1533;0,071880094;...特别留心地研究了岱西的费用，这一研究，在一个不起眼的地方让他[[[看出问题来]]]了，他发现了一笔他并没有签过字的费用在财务部顺利付款并做帐了。;New;No;No;Present;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;2000s\2007\文学\大陆作家\2007 李可 杜拉拉升职记1.txt;Fiction;Written;2000-2020;5;
1456;0,167907161;...。刚到达甜水海时，他高原反应非常强烈，吃什么吐什么，最后居然[[[吐出血来]]]。同事劝他撤回海拔较低的叶城，但任秀波没有退下来，并出色完成测...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;2000s\2007\报刊\人民日报\rmrb_2007_04.txt;Newspaper;Written;2000-2020;5;
13;0,251471401;...新为代表的第三代运动员开始在1998年的世界青年田径锦标赛上[[[露出头来]]]。此次，正是因为尹丽丽、兰丽新、李季在城运会女子5000米比赛...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;2000s\2000\报刊\人民日报\rmrb_2000_02.txt;Newspaper;Written;2000-2020;5;
1218;0,780277814;...武器。现在有了小教员，实行兵教兵，让他们领着大家练，干部就能[[[腾出手来]]]，练习其它的几种武器了。现在全连的干部都能掌握连队的各种武器的...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1960s\1965\报刊\人民日报\rmrb_1965_10.txt;Newspaper;Written;1960-1980;3;
817;0,226388724;...哥心里这个高兴就甭提了。心里的话：我这手艺算学成了，到哪儿也[[[挣出饭来]]]啦！正高兴着呢，师娘不知道他在那儿干活儿，又叫他：“小二哥！扫...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;2000s\2003\相声小品\2003 冯不异_刘英男 中国传统相声大全.txt;TV/Movie;Spoken;2000-2020;5;
1915;0,174757708;...诊断”下，这一桌都成了“病菜”，说得大家都不敢下手夹菜，生怕[[[吃出病来]]]。所以现在大凡跟他出去吃饭大家都主动交出点菜权，拱手相让给他。...;New;No;No;Absent;Indefinite;Absent;Non-concrete;1;V-chu-N-lai;Y;2000s\200x\网络语料\网页\200x Author C000022.txt;Online;Online;2000-2020;5;
1274;0,689123096;破除了“物”的迷信，我们就可以因陋就简[[[搞出成绩来]]]了。;New;No;No;Present;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1960s\1966\报刊\人民日报\rmrb_1966_01.txt;Newspaper;Written;1960-1980;3;
2114;0,569604805;...，做好参政议政，这是坚定不移的。只要听共产党的话，我们是可以[[[做出成绩来]]]的。”充分表达了他对中国共产党的敬仰、热爱和信赖。;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1990s\1998\报刊\人民日报\rmrb_1998_09.txt;Newspaper;Written;1980-2000;4;
1368;0,864185328;...有的知识和观点，讲话就有权，就叫权威”；说“大作家经验丰富，[[[讲出话来]]]就是不同”；“创造性的东西，只能专家去研究”；他无耻地说：“要...;New;No;No;Absent;Indefinite;Absent;Non-concrete;1;V-chu-N-lai;Y;1960s\1966\报刊\人民日报\rmrb_1966_07.txt;Newspaper;Written;1960-1980;3;
1417;0,445503354;...台织布机；我们的织布机一定能够在埃及的工厂里为胜利的埃及人民[[[织出布来]]]。”;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1950s\1956\报刊\人民日报\rmrb_1956_11.txt;Newspaper;Written;1940-1960;2;
1561;0,782205343;...镜就有了摔破的可能了。又因为铜镜不比玻璃镜子，时间久了会自己[[[生出铜锈来]]]，原先闪亮的镜面便黯然失色；这时，就需要重新磨亮它。古时干这一...;New;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1980s\1987\报刊\读书\vol-100.txt;Newspaper;Written;1980-2000;4;
1267;0,694694369;...改煤油，这一新招还真灵———现在经老范加工过的主轴，表面都能[[[照出人影来]]]！;New;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;2000s\2006\报刊\人民日报\rmrb_2006_04.txt;Newspaper;Written;2000-2020;5;
1100;0,474080504;...，计划中的程式语言是Dylan——不过它从未完成到足以以其撰[[[写出程式来]]]。Dylan是一个衍生自Lisp的，小而有效率的物件导向语言。...;Given;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;2010s\201x\网络语料\中文维基\Wiki_017.txt;Online;Online;2000-2020;5;
2161;0,856247494;...能装律师吗？你们公司的人要是真问我一些法律问题，我还不得当场[[[露出原形来]]]。”　“不会的。我告诉公关台的人说我约了一名陈律师，来后马上请...;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1990s\1998\文学\大陆作家\1998 常温 桑拿小姐_第十五章_桑拿小姐与白领丽人.txt;Fiction;Written;1980-2000;4;
1529;0,977161681;前一阶段我们少数同志还存在着“等”的思想，认为上级领导会[[[拿出办法来]]]的，兄弟单位会拿出典型经验来的，于是不抓试点，不作探索，把原有...;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1960s\1969\报刊\人民日报\rmrb_1969_05.txt;Newspaper;Written;1960-1980;3;
1400;0,897388641;...个缺点；你如果看到我哪一方面没有按毛主席的指示办事，你就给我[[[指出错误来]]]。这就是批评。自己对照毛主席的指示，听了同志们的批评意见，认识...;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1960s\1966\报刊\人民日报\rmrb_1966_11.txt;Newspaper;Written;1960-1980;3;
635;0,348124715;...正好锄头遍高粱，这时到麦收还有一段时间，可连锄几遍高粱，而后[[[腾出手来]]]投入夏收夏种。高粱“立秋”后就要成熟，收砍高粱正处在夏种作物田...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1960s\1962\报刊\人民日报\rmrb_1962_09.txt;Newspaper;Written;1960-1980;3;
893;0,535247343;...后者绝不能“先发制人”。接待来宾时，一般讲究客人抵达时主人先[[[伸出手来]]]以示欢迎，客人告辞时则由客人先伸手以示会面“到此为止”。;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1990s\1994\报刊\市场报\1994年06月《市场报》.txt;Newspaper;Written;1980-2000;4;
1845;0,866299574;...心贴近群众，遇事多替群众想想，群众就买你的帐，再难的工作也会[[[想出办法来]]]。”;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1990s\1997\报刊\人民日报\rmrb_1997_02.txt;Newspaper;Written;1980-2000;4;
118;0,939070189;...容易赔偿么？并且他们的店伙都有担保的，万一寻找不着，担保的须[[[拿出钱来]]]代赔。当店自身，如何会愿意立刻垫出巨款来赔偿物主呢？”李镜泓点...;New;No;No;Absent;Indefinite;Absent;Non-concrete;1;V-chu-N-lai;Y;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;Fiction;Written;1920-1940;1;
511;0,818735072;...去找纣王的两个小老婆。哼，早已统统吊死了。大王就又射了三箭，[[[拔出剑来]]]，一砍，这才拿了黑斧头，割下她们的脑袋，挂在小白旗上。这么一来...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1930s\1936\文学\1936 鲁迅 故事新编.txt;Fiction;Written;1920-1940;1;
313;0,729365497;...发响亮，好几次打断了吴团长的话。同时，周围有数不清的学生们都[[[伸出手来]]]，要和人民解放军的代表握手。;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1950s\1951\报刊\人民日报\rmrb_1951_07.txt;Newspaper;Written;1940-1960;2;
1939;0,322548068;...所有的人一样在铁椅子上坐下，用当年菲利浦七世经常紧握的那只手[[[掏出钱来]]]付租金，我们就在草坪上玩将起来，把那长着彩虹色美丽身体的鸽子轰...;New;No;No;Absent;Indefinite;Absent;Non-concrete;1;V-chu-N-lai;Y;1980s\1989\翻译作品\文学\1989 施康强_罗大冈_徐继曾_李恒基_桂裕芳_袁树仁_潘丽珍_许渊冲 追忆似水年华.txt;Fiction_t;Written;1980-2000;4;
1265;0,082194931;...有一个叫做敬叔的建安郡太守，一日派人砍伐樟树时，树干缺口居然[[[流出血来]]]，接著，有著人头、类似黑狗却又没有尾巴的彭侯从树中跳出来；之后...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;2010s\201x\网络语料\中文维基\Wiki_043.txt;Online;Online;2000-2020;5;
1698;0,744409007;"　　我终于能[[[说出话来]]]了，可声音很小：""在医院吗？";New;No;No;Absent;Indefinite;Absent;Non-concrete;1;V-chu-N-lai;Y;2000s\2008\翻译作品\文学\2008 覃学岚_孙郁根_李寅 斯蒂芬妮·梅尔_暮光之城1·暮色.txt;Fiction_t;Written;2000-2020;5;
1312;0,860354264;...报告时强调，加强社会主义精神文明建设，要从加强教育入手，真正[[[抓出成效来]]]。;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1980s\1986\报刊\人民日报\rmrb_1986_04.txt;Newspaper;Written;1980-2000;4;
1914;0,36942865;卓云就去拉颂莲的手，快起来吧，这样躺没病也[[[孵出毛病来]]]。;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1980s\1989\文学\大陆作家\1989 苏童 妻妾成群.txt;Fiction;Written;1980-2000;4;
172;0,930738057;...，有一点可以自慰的，就是没有昧良心，但是在反动统治下，要完全[[[拿出良心来]]]做事，是很难活下去的，我常常对青年讲良心话，说我有五分良心，只...;Given;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1940s\1946\报刊\人民日报\rmrb_1946_07.txt;Newspaper;Written;1940-1960;2;
972;0,217332578;...想不到负责开票的同志告诉他：“没车”，一转眼，却看到后面的人[[[提出车来]]]走了，上前去问，人家告诉他：“不妨意思意思，”这位客户提着两条...;Given;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1990s\1994\报刊\报刊精选\1994年《报刊精选》06.txt;Newspaper;Written;1980-2000;4;
