Index;R-number;Text;NP_Givenness;Structural_Priming;Imperative_conditional;le;NP_Definiteness;Numeric_Classifier;NP_Concreteness;NP_Length;Response;V-P;Filename;Genre;Register;Time;Time_num
35;0,457531583;...立，究竟何曾会探出！那鄂尔泰、张廷玉等几个大臣，怕国本不定，[[[生出事来]]]，拣没人时节，也曾造膝密陈，叩请早定大计。圣祖回说：“这要紧点...;New;No;No;Absent;Indefinite;Absent;Non-concrete;1;V-chu-N-lai;Y;1920s\1921\文学\小说笔记\1921 陆士谔 清朝秘史.txt;Fiction;Written;1920-1940;1
27;0,112849594;众人听了，方才明白。于是跟随胡老爷到都统府。门上回过，[[[传出话来]]]，都统今日没暇，叫胡老爷带他们马棚里歇一夜再问。胡老爷皱眉道：...;New;No;No;Absent;Indefinite;Absent;Non-concrete;1;V-chu-N-lai;Y;1920s\1921\文学\小说笔记\1921 陆士谔 清朝秘史.txt;Fiction;Written;1920-1940;1
46;0,469936506;...门。达镇台道：“势已逼迫，请大帅坐出堂去，拊循遣散，不然怕要[[[闹出事来]]]呢。”;New;No;No;Absent;Indefinite;Absent;Non-concrete;1;V-chu-N-lai;Y;1920s\1921\文学\小说笔记\1921 陆士谔 清朝秘史.txt;Fiction;Written;1920-1940;1
37;0,677356472;皇太后见高宗悲伤不已，怕他因此[[[闷出病来]]]，特把高宗传到慈宁宫，着实开导一番，并要替他立刻选立皇后。高宗...;New;No;No;Absent;Indefinite;Absent;Non-concrete;1;V-chu-N-lai;Y;1920s\1921\文学\小说笔记\1921 陆士谔 清朝秘史.txt;Fiction;Written;1920-1940;1
56;0,007618633;...木，站起身来瞧时，见地面上突出的芦根，已经钻入膝盖，膝盖上也[[[流出血来]]]，染得地下的雪愈益红了。三人都不禁感极而泣，相语道：“芦穿膝盖...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1920s\1921\文学\小说笔记\1921 陆士谔 清朝秘史.txt;Fiction;Written;1920-1940;1
30;0,580006819;...谁敢拗他。你不肯，不就作难我么？谁料这孩子，听了奴才的话，竟[[[拔出佩剑来]]]，突然白刎而死。刘老爷晓得了，说奴才不舍逼死丫头，要跟奴才过不...;New;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1920s\1921\文学\小说笔记\1921 陆士谔 清朝秘史.txt;Fiction;Written;1920-1940;1
7;0,640388284;递上手本，差官[[[传话出来]]]，叫东江马步各将，都各回营，只请毛帅进见。文龙跟随差官过船，才...;New;No;No;Absent;Indefinite;Absent;Non-concrete;1;V-N-chulai;Y;1920s\1921\文学\小说笔记\1921 陆士谔 清朝秘史.txt;Fiction;Written;1920-1940;1
50;0,661897467;西宫太后瞧见此奏，不胜叹赏。慈禧后道：“究竟念书的人，[[[讲出话来]]]，句句都有理。”;New;No;No;Absent;Indefinite;Absent;Non-concrete;1;V-chu-N-lai;Y;1920s\1921\文学\小说笔记\1921 陆士谔 清朝秘史.txt;Fiction;Written;1920-1940;1
58;0,739665541;...上见过的仙境，就在这里出现了。这时船走得更快，不多时，在台上[[[显出人物来]]]，红红绿绿的动，近台的河里一望乌黑的是看戏的人家的船篷。;New;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1920s\1922\文学\1922 鲁迅 社戏.txt;Fiction;Written;1920-1940;1
118;0,037584231;...容易赔偿么？并且他们的店伙都有担保的，万一寻找不着，担保的须[[[拿出钱来]]]代赔。当店自身，如何会愿意立刻垫出巨款来赔偿物主呢？”李镜泓点...;New;No;No;Absent;Indefinite;Absent;Non-concrete;1;V-chu-N-lai;Y;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;Fiction;Written;1920-1940;1
105;0,484380529;...尚要辩论，光头将店伙拉了进来，那人便扬长去了。光头道：“他就[[[拿出钱来]]]，也不过一个小银角。他常来这里剃头的，每次没多给过一文，他还要...;New;No;No;Absent;Indefinite;Absent;Non-concrete;1;V-chu-N-lai;Y;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;Fiction;Written;1920-1940;1
115;0,127490478;...下乱跑。老板见她吓变了颜色，忙拉住她问做什么。好一会，她才能[[[说出原由来]]]。老板听得也慌了，我们大家到四十一番室一看，两个人都躺在鲜血里...;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;Fiction;Written;1920-1940;1
78;0,505095785;　　吃完了饭，谭先闿道：“你既依了我的话，趁早[[[拿出钱来]]]，我们好去归还朋友。为你的事，失了我朋友的信用，真不值得。”章...;New;No;Yes;Absent;Indefinite;Absent;Non-concrete;1;V-chu-N-lai;Y;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;Fiction;Written;1920-1940;1
84;0,543175417;...有张名片，也烦你带去。”林鲲祥点头道好，接了名片，要周正勋也[[[拿出名片来]]]。周正勋道：“我当学生的人，何处用得着名片？还没去印，有;Given;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;Fiction;Written;1920-1940;1
123;0,14056989;...这么睡了，像个什么！还不快起来，周先生特来请你去玩。”李镜泓[[[伸出头来]]]，见周撰立在房里，心里虽一百二十个不高兴，但是不能露在面上，又...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;Fiction;Written;1920-1940;1
122;0,010551547;...李镜泓差不多的人，把我活坑了。我到了这时候，是万分不能不自己[[[拿出主张来]]]。但是铁脚的话，只能信他一半，他是个没有学识的人，姓周的和他要...;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;Fiction;Written;1920-1940;1
109;0,581063907;...巨老何时到这里来的？”林巨章见那日开电门那俊俏后生，从窗眼里[[[露出脸来]]]窥探，猛然想起今早开门时间话的情形来。看了张修龄一眼，沉下脸问...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;Fiction;Written;1920-1940;1
91;0,36976169;...义》，她最是欢迎看这部书的，并最是崇拜诸葛孔明的，便放下手，[[[伸出脸来]]]问道：“你配得上比诸葛孔明吗？他本是不想出山的，刘先主去求他，...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;Fiction;Written;1920-1940;1
152;0,174788558;...七杂八的和他说，他见你是外行，说得不好，他们反无中生有的，要[[[起出花头来]]]敲你。这嫖场里面门道极多，他们挤一挤眼睛，动一动眉毛，又是花头...;New;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;Fiction;Written;1920-1940;1
75;0,295413006;...器隽不要求出气，我等同乡会也应研究一个善后的办法。不然，将来[[[弄出人命来]]]，同乡的也难免拖累。这几日的谣言，布满了东京全市，几于无人不谈...;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;Fiction;Written;1920-1940;1
145;0,018084267;...子上一掼道：“你还抵死辩白，在外面没有相好的女人，这里又被我[[[搜出证据来]]]了。看你还有什么话说？”何达武笑道：“这也是在万龙那里带来的。...;New;No;No;Present;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;Fiction;Written;1920-1940;1
73;0,338727535;...还没有下落。署长复问了问决斗的情形，章筱荣都据实陈说。署长教[[[拿出手枪来]]]看，章筱荣说在谭先闿身上。即传谭先闿上厅，只略问了几句。署长亲...;New;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;Fiction;Written;1920-1940;1
72;0,81645209;...荣今早同着两个朋友，到须磨寻着禁锢我的所在，正待施救，李苹卿[[[拿出手枪来]]]，向他们击了两下。我当时在楼上，听得楼下有决斗的声音，至如何决...;New;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;Fiction;Written;1920-1940;1
128;0,42824006;...甚至有疑大力士会邪术的。大力士因恐在座诸君中也有此类怀疑，故[[[露出体魄来]]]，以证明他的神力，确是用苦工磨练出来的，绝对的没丝毫邪术。诸君...;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;Fiction;Written;1920-1940;1
87;0,394760699;　　家来打死他！”小暴徒看这人有些呆头呆脑的样子，[[[骂出话来]]]，大家都笑，由他怎么喊叫，并没一人帮着他动手，正待上前，也将朱...;New;No;No;Absent;Indefinite;Absent;Non-concrete;1;V-chu-N-lai;Y;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;Fiction;Written;1920-1940;1
67;0,106870747;...去日本留学。他们有钱的人，听说儿子肯去求学，哪里不许可的？随[[[拿出钱来]]]，叔侄两个双双渡海，便入了留学生的籍。初到日本的时候，在同乡的...;Given;No;No;Absent;Indefinite;Absent;Non-concrete;1;V-chu-N-lai;Y;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;Fiction;Written;1920-1940;1
94;0,75944949;...一句话，问得朱湘藩心里如利刀刺得一般的痛苦，两眼不由得扑簌簌[[[流出泪来]]]，悲声说道：“今日的事，公使若不能设法替参赞出气，参赞无面目见...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;Fiction;Written;1920-1940;1
139;0,366862785;...特为王、李两兄讲和，酒席还不曾吃，我们讲和团体里面却自己先又[[[闹出意见来]]]，未免给外人笑话。并且也对王、李两兄不起。”王立人也从旁劝道：...;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;Fiction;Written;1920-1940;1
155;0,15416097;　　时从怀中[[[摸出钱包来]]]，拿了那张五元的钞票，递给黎是韦。黎是韦明知他是遁词，却也不好...;New;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;Fiction;Written;1920-1940;1
100;0,543655299;...来了。熊义便急急的问道；“还有什么笑话，难道对着两个男人，也[[[说出疯话来]]]吗？”萧熙寿道：“你听我说。那时姓方的回来，只略谈了几句不相干...;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;Fiction;Written;1920-1940;1
143;0,005944296;...也笑了一笑，打着俏皮腔说道：“我就当这蝴蝶的一对眼睛，请你再[[[拿出眼睛来]]]仔细看看，看能当钞票不能当钞票？”掌柜的打着哈哈道：“这蝴蝶的...;Given;No;Yes;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;Fiction;Written;1920-1940;1
81;0,819497177;...被，，头上还加了一件外套，睡在那里，我一手把外套揭开，黄老三[[[伸出头来]]]望着我笑。我说：‘你这种办法不对，莫说对八胖子不住，人家听了也...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;Fiction;Written;1920-1940;1
140;0,329903394;...气，因此忍耐不说。我和铁民已经闹了意见的，尚要和解。你们不曾[[[闹出意见来]]]的，还不快把意见销除吗？”李铁民拍手笑道：“对呀，我们都是好兄...;Given;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;Fiction;Written;1920-1940;1
119;0,295936142;...万一寻找不着，担保的须拿出钱来代赔。当店自身，如何会愿意立刻[[[垫出巨款来]]]赔偿物主呢？”李镜泓点头道：“暂时是当然要守秘密的。”;New;Yes;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;Fiction;Written;1920-1940;1
137;0,193427942;　　何达武从怀中[[[摸出钱包来]]]，数了五块钱钞票，交给松子道：“你今日就把柴米油盐酱醋茶，都酌...;New;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;Fiction;Written;1920-1940;1
79;0,738612019;...。”说时向张绣宝道：“快去拿当票给二位看。”张绣宝从小铁箱内[[[拿出当票来]]]。谭先闿瞧也不瞧说道：“谁管你什么当票，相信你没有钱便罢了不成...;Given;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;Fiction;Written;1920-1940;1
80;0,144747019;...老三在一块儿干得出好事来么？”说着，邀邹东瀛复进巷子。曾姨太[[[拿出钥匙来]]]，开了大门，让邹东瀛先脱皮靴上去，提起腿向曾广度一伸，邹东瀛不...;New;Yes;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;Fiction;Written;1920-1940;1
144;0,330266002;...那里闹的时候，见了我进来，你务必装作许久不曾见面的样子，不可[[[露出马脚来]]]，使他们知道是你我商通的。”松子点头说理会得。;New;No;Yes;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;Fiction;Written;1920-1940;1
132;0,926848446;...把握的多着吗？当今之世，我们女子想免受遇人不淑的痛苦，非自己[[[拿出眼光来]]]，照我这们去观察男子，没有再安全的方法。”;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;Fiction;Written;1920-1940;1
129;0,801357595;...，有贼进来把家具都偷了去，你还不知道呢。”李镜泓再忍不住了，[[[伸出头来]]]说道：“你也顾家里怕有贼来偷了家具去吗？我看你简直不记得有家了...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;Fiction;Written;1920-1940;1
126;0,888354802;...，只因初到日本，一则难得相当人物，一则觉得在日本不比在内地，[[[闹出笑话来]]]，新闻上每每尽情披露，不能不较内地敛迹些。但哪里是她甘心情愿，...;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;Fiction;Written;1920-1940;1
98;0,148312799;...。她又问我的姓名籍贯，我都说了。老熊你看奇怪不奇怪？她一听我[[[说出姓名来]]]，立刻站起身，复向我行了个礼，现出很欢喜的样子说道：‘不想今日...;Given;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;Fiction;Written;1920-1940;1
150;0,16825951;　　“他这时把气焰放低了，从怀中[[[摸出香烟来]]]，敬了我一枝，擦上洋火，给我吸燃了，才自己吸，俨然表示要作长时...;New;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;Fiction;Written;1920-1940;1
99;0,049687149;...生，我仰慕多时了。先生要不是改换了和服，我见面必能认识。此时[[[说出姓名来]]]，我仍觉面善的很。’那女子这么一来，又把我弄得茫乎不知其所以然...;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;Fiction;Written;1920-1940;1
65;0,678127938;...热的样子，说道：“得二位来飞入，我们力士团更增光了。”二人各[[[拿出名片来]]]，熊义谦逊说道：“我这朋友，平日醉心贵国的武士道，久有意瞻仰，...;New;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;Fiction;Written;1920-1940;1
128;0,171030986;...热，只是陈蒿也没理会，催着陈毓上了汽车。陈毓仍向原地方坐了，[[[留出位子来]]]给陈蒿坐，谁知陈蒿上车的时候，周撰暗地在后面拉了一把，教她坐到...;New;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;Fiction;Written;1920-1940;1
140;0,772416566;...立人交情厚的，便暗中替王立人着急。好一会王立人才慢慢从喉咙里[[[发出音来]]]说道：“我对铁民本来没有意见，就只因他打的我太苦，我每次照镜子...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;Fiction;Written;1920-1940;1
68;0,675498761;...个数目，从会金提一半，大家再凑集一半的。许多人正在议论，忽然[[[跳出个人来]]]大声说道：“一个月不过几十元钱，也值得这般议论？也不必从会金里...;Given;No;No;Absent;Definite;Present;Concrete;2;V-chu-N-lai;Y;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;Fiction;Written;1920-1940;1
95;0,008022628;...商人起这种不体面的诉讼，纵不怕皇上见罪，他们学生知道了，又要[[[闹出风潮来]]]。”朱湘藩道：“然则参赞吃了这么大亏，就善罢甘休不成？那么使署...;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;Fiction;Written;1920-1940;1
158;0,295959148;老祖父从涩哑喉咙中哼了一声，没[[[说出话来]]]。;New;No;No;Absent;Indefinite;Absent;Non-concrete;1;V-chu-N-lai;Y;1920s\1923\文学\1923 王统照 生与死的一行列.txt;Fiction;Written;1920-1940;1
162;0,645112493;...着“仁义道德”几个字。我横竖睡不着，仔细看了半夜，才从字缝里[[[看出字来]]]，满本都写着两个字是“吃人”！;Given;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1920s\1923\文学\1923 鲁迅 呐喊.txt;Fiction;Written;1920-1940;1
169;0,758101832;...我现在还是外行，慢慢的学习吧。”于是打开报，三人参酌，用朱笔[[[划出格式来]]]。分配定了，伯雍自任预备他的材料。这时忽见进来一个馆役，脸上笑...;New;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1920s\1924\文学\1924 穆辰公 北京.txt;Fiction;Written;1920-1940;1
30;0,724452346;一礼拜后，[[[发榜出来]]]，在京兆籍贯里面，他却来个第一名。同时看榜的人都替他称贺。他看...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-N-chulai;Y;1920s\1924\文学\1924 穆辰公 北京.txt;Fiction;Written;1920-1940;1
173;0,990484467;...下铺着扫不尽的落叶，忽而索落索落的响了一声，待我低下头来，向[[[发出声音来]]]的地方望去，又看不出什么动静来了，这大约是我们庭后的那一棵槐树...;New;Yes;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1920s\1924\文学\1924 郁达夫 小春天气.txt;Fiction;Written;1920-1940;1
177;0,816103948;...给祖母吃，自己情愿饿肚皮。可是这样的孝女，有人肯布施么？”他[[[射出眼光来]]]钉住她，似乎要试验她的识见。;New;Yes;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1920s\1924\文学\1924 鲁迅 肥皂.txt;Fiction;Written;1920-1940;1
191;0,51673628;...来冲上茶。阔亭便不再说话，立即拿起茶来喝。浑身一抖，放下了，[[[伸出舌尖来]]]舐了一舐上嘴唇，揭去碗盖嘘嘘地吹着。;New;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1920s\1926\文学\1926 鲁迅 彷徨.txt;Fiction;Written;1920-1940;1
189;0,924822674;他好容易曲曲折折的[[[汇出手来]]]，手里就有一个小小的长方包，葵绿色的，一径递给四太太。她刚接到...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1920s\1926\文学\1926 鲁迅 彷徨.txt;Fiction;Written;1920-1940;1
186;0,765915745;...，放下杯，筷，酒壶和碗碟，酒到了。我转脸向了板桌，排好器具，[[[斟出酒来]]]。觉得北方固不是我的旧乡，但南来又只能算一个客子，无论那边的干...;Given;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1920s\1926\文学\1926 鲁迅 彷徨.txt;Fiction;Written;1920-1940;1
192;0,312793303;...大，遍身的颜色苍翠得可爱，可怜。我打一个呵欠，点起一支纸烟，[[[喷出烟来]]]，对着灯默默地敬奠这些苍翠精致的英雄们。;Given;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1920s\1926\文学\1926 鲁迅 野草.txt;Fiction;Written;1920-1940;1
194;0,713908744;“人来呀！强盗在毁咱们的屋子了！快来呀！迟一点可要[[[打出窟窿来]]]了！……”他哭嚷着，在地上团团地打滚。一群奴才都出来了，将傻子...;New;No;No;Present;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1920s\1926\文学\1926 鲁迅 野草.txt;Fiction;Written;1920-1940;1
51;0,998347123;...，借蔽风雨。武帝恐金女胆怯，或致逃去，竟命从吏截住前后，不准[[[放人出来]]]。屋小人多，甚至环绕数匝，吓得金家里面，不知有何大祸，没一人不...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-N-chulai;Y;1920s\1926\文学\小说笔记\1926 蔡东藩 秦汉演义.txt;Fiction;Written;1920-1940;1
296;0,315593864;说时霍地[[[抽出尖刀来]]]，望粉颈上只一抹，鲜血直射成栋袍袖。成栋忙挽救，已香销玉殒，尸...;New;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1920s\1927\文学\小说笔记\1927 许啸天 明代宫闱史.txt;Fiction;Written;1920-1940;1
217;0,929739038;...闻得鹞鹰的血味和毛，就一路引着别儿撒望前走去。这一天，也合该[[[闹出事来]]]，别儿撒虽当时疑到拖勃杀他神鹰，一会儿可又忘记了。偏偏猎犬在前...;New;No;No;Absent;Indefinite;Absent;Non-concrete;1;V-chu-N-lai;Y;1920s\1927\文学\小说笔记\1927 许啸天 明代宫闱史.txt;Fiction;Written;1920-1940;1
244;0,152436419;...第一个闻知，先去奏陈景帝，景帝听了惊道：“上皇这样放浪，万一[[[弄出事来]]]有谁担当？”便谕令卫士，把南宫的大门守住，不准无故出入。这样一...;New;No;Yes;Absent;Indefinite;Absent;Non-concrete;1;V-chu-N-lai;Y;1920s\1927\文学\小说笔记\1927 许啸天 明代宫闱史.txt;Fiction;Written;1920-1940;1
236;0,028435919;...，便大喝大叫，一伸手一抬足，铁链和囚枷纷纷地崩折下来。狱官怕[[[弄出事来]]]，忙禀闻巡监御史，拿头号的铁叶大枷，将高煦枷了起来，可是一经高...;New;No;No;Absent;Indefinite;Absent;Non-concrete;1;V-chu-N-lai;Y;1920s\1927\文学\小说笔记\1927 许啸天 明代宫闱史.txt;Fiction;Written;1920-1940;1
232;0,713577149;...角。太祖愈愤他无礼，在驾前跳嚎，命侍卫截去云奇的指头，云奇又[[[伸出中指来]]]指点着，太祖叫截去他右手的五指，支奇却用左手指点着，侍卫砍去他...;New;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1920s\1927\文学\小说笔记\1927 许啸天 明代宫闱史.txt;Fiction;Written;1920-1940;1
